Year,Age,kmDriven,Transmission,Owner,AskPrice,Cluster
0.39473684210526017,0.6052631578947368,0.09999979591878383,1.0,1.0,0.004236789455101801,1
0.6052631578947327,0.39473684210526316,0.19387715535274416,1.0,1.0,0.008473578910203602,1
0.6315789473684177,0.3684210526315789,0.07882228811777935,1.0,0.0,0.0040013887254325056,3
0.8157894736842053,0.18421052631578946,0.08520390774712704,1.0,1.0,0.012945745557255502,1
0.8684210526315752,0.13157894736842105,0.04591827363617625,0.0,0.0,0.0157702718606567,0
0.7368421052631575,0.2631578947368421,0.08469370470672509,0.0,0.0,0.03142285512533836,0
0.7368421052631575,0.2631578947368421,0.171428221575058,1.0,1.0,0.023773096386960103,1
0.8684210526315752,0.13157894736842105,0.025510152020097918,0.0,1.0,0.13969636342238437,2
0.8947368421052602,0.10526315789473684,0.03444788888185942,1.0,1.0,0.014287395551371073,1
0.8157894736842053,0.18421052631578946,0.07113556911108344,1.0,1.0,0.014922913969636343,1
0.8421052631578902,0.15789473684210525,0.07142842565627416,0.0,0.0,0.008944333294103803,0
0.9210526315789451,0.07894736842105263,0.025510152020097918,0.0,0.0,0.06790631987760386,0
0.6842105263157876,0.3157894736842105,0.07418352207444474,1.0,1.0,0.0052959868188772515,1
0.5526315789473628,0.4473684210526315,0.12441913383850237,0.0,1.0,0.004386253971990115,2
0.9210526315789451,0.07894736842105263,0.032652994585725334,0.0,1.0,0.2773920207131929,2
0.8421052631578902,0.15789473684210525,0.13265279050450918,1.0,1.0,0.007414381546428151,1
0.8947368421052602,0.10526315789473684,0.06938761349466634,1.0,0.0,0.024243850770860303,3
0.7894736842105203,0.21052631578947367,0.06632639525225459,1.0,1.0,0.0181240437801577,1
0.8157894736842053,0.18421052631578946,0.060203958767431086,0.0,1.0,0.012710368365305402,2
0.7631578947368354,0.23684210526315788,0.06224477092903892,0.0,1.0,0.03495351300458986,2
0.8684210526315752,0.13157894736842105,0.07857126822190158,0.0,1.0,0.056113922560903855,2
0.8157894736842053,0.18421052631578946,0.10918345064601909,0.0,0.0,0.030834412145463105,0
0.6315789473684177,0.3684210526315789,0.10102020199958775,1.0,0.0,0.006590561374602801,3
0.7631578947368354,0.23684210526315788,0.0428570553937645,0.0,1.0,0.024361539366835355,2
0.8684210526315752,0.13157894736842105,0.04905398152248669,0.0,1.0,0.008002824526303402,2
0.8684210526315752,0.13157894736842105,0.03328360554366215,0.0,0.0,0.029069083205837357,0
0.6842105263157876,0.3157894736842105,0.07142842565627416,1.0,1.0,0.007061315758503001,1
0.7368421052631575,0.2631578947368421,0.05204071012099975,0.0,1.0,0.007767447334353302,2
0.8421052631578902,0.15789473684210525,0.1397956330701366,1.0,0.0,0.019536306931858302,3
0.973684210526315,0.02631578947368421,0.002036730537284618,0.0,0.0,0.09838766623514182,0
0.8157894736842053,0.18421052631578946,0.0918365472723525,1.0,1.0,0.04554548664234436,1
0.6578947368421026,0.3421052631578947,0.085714110787529,1.0,1.0,0.011180416617629753,1
0.8421052631578902,0.15789473684210525,0.05408152228260758,0.0,0.0,0.06908320583735436,0
0.9210526315789451,0.07894736842105263,0.017346903373666584,1.0,0.0,0.0157702718606567,3
0.8421052631578902,0.15789473684210525,0.07142842565627416,1.0,1.0,0.017276685889137347,1
0.973684210526315,0.02631578947368421,0.005102030404019583,0.0,0.0,0.03730728492409086,0
0.9473684210526301,0.05263157894736842,0.048071330466672516,1.0,1.0,0.03954336824761681,1
0.8684210526315752,0.13157894736842105,0.03571421282813708,1.0,0.0,0.013416499941155702,3
0.8684210526315752,0.13157894736842105,0.10364264562725382,0.0,0.0,0.09850535483111686,0
0.9210526315789451,0.07894736842105263,0.0428570553937645,1.0,1.0,0.015534894668706603,1
0.8421052631578902,0.15789473684210525,0.0306121824241175,1.0,1.0,0.014475697304931152,1
0.7894736842105203,0.21052631578947367,0.08377533923400156,1.0,1.0,0.010591973637754503,1
0.6842105263157876,0.3157894736842105,0.0918365472723525,0.0,1.0,0.020807343768388845,2
0.6578947368421026,0.3421052631578947,0.19693837359515592,1.0,1.0,0.026126868306461104,1
0.7631578947368354,0.23684210526315788,0.06632639525225459,0.0,0.0,0.04083794280334236,0
